,Site,Fish_no,Spp,Section,FL_mm,Wt_g,Scale,Mort
450,10,1026,Omy,2,58,2,N,N
451,10,1027,Omy,2,53,2,N,N
452,10,1028,Omy,2,70,4.2,N,N
453,10,1029,Omy,2,51,1.6,N,N
454,10,1030,Omy,2,52,1.6,N,N
455,10,1031,Omy,4,53,1.8,N,N
456,10,1032,Omy,4,70,3.8,N,N
457,10,1033,Omy,4,70,4.4,N,N
458,10,1034,Omy,4,70,3.5,N,N
459,10,1035,Omy,4,75,4.7,N,N
460,10,1036,Omy,4,61,3,N,N
461,10,1037,Omy,4,58,1.9,N,N
462,10,1038,Omy,4,53,1.7,N,N
463,10,1039,Omy,1,50,1.9,N,N
464,10,1040,Omy,1,70,5.4,N,N
465,10,1041,Omy,1,65,3.9,N,N
466,10,1042,Omy,1,65,3.4,N,N
467,10,1043,Omy,1,78,5.2,N,N
468,10,1044,Omy,1,64,3.5,N,N
469,10,1045,Omy,1,64,4.1,N,N
470,10,1046,Omy,1,61,2.6,N,N
471,10,1047,Omy,1,65,3.1,N,N
472,10,1048,Omy,1,63,3.1,N,N
473,10,1049,Omy,1,58,2.5,N,N
474,10,1050,Omy,1,59,2.2,N,N
475,10,1051,Omy,1,66,3.4,N,N
476,10,1052,Omy,1,59,2.3,N,N
477,10,1053,Omy,1,58,2.2,N,N
478,10,1054,Omy,1,58,2.3,N,N
479,10,1055,Omy,1,59,2.8,N,N
480,10,1056,Omy,1,55,2.3,N,N
481,10,1057,Omy,1,53,1.8,N,N
482,10,1058,Omy,1,50,1.9,N,N
483,10,1059,Omy,1,55,1.8,N,N
484,10,1060,Omy,1,53,2,N,N
485,10,1061,Omy,3,63,2.4,N,N
486,10,1062,Omy,3,57,1.8,N,N
487,10,1063,Omy,3,70,4.1,N,N
488,10,1064,Omy,3,55,1.8,N,N
489,10,1065,Omy,3,70,3.9,N,N
490,10,1066,Omy,3,69,3.8,N,N
491,10,1067,Omy,3,50,1.4,N,N
492,10,1068,Omy,3,59,2.2,N,N
493,10,1069,Omy,3,54,1.5,N,N
494,10,1070,Omy,3,57,1.9,N,N
495,10,1071,Omy,3,56,2,N,N
496,10,1072,Omy,3,57,2,N,N
497,12,1201,Omy,3,60,2.6,N,N
498,12,1202,Omy,3,55,2.6,N,N
499,12,1203,Omy,3,52,1.8,N,N
500,12,1204,Omy,3,66,4.1,N,N
501,12,1205,Omy,3,75,3.5,N,N
502,12,1206,Omy,3,50,1.8,N,N
503,12,1207,Omy,3,71,4.4,N,N
504,12,1208,Omy,3,70,4.1,N,N
505,12,1209,Omy,3,54,2,N,N
506,12,1210,Omy,3,70,3.8,N,N
507,12,1211,Omy,3,61,2.8,N,N
508,12,1212,Omy,3,93,11.1,Y,N
509,12,1213,Omy,1,53,1.5,N,N
510,12,1214,Omy,1,72,4.4,N,N
511,12,1215,Omy,1,60,2.5,N,N
512,12,1216,Omy,1,75,4.8,N,N
513,12,1217,Omy,1,73,4,N,N
514,12,1218,Omy,1,92,8.6,Y,N
515,12,1219,Omy,1,68,3.5,N,N
516,12,1220,Omy,1,51,2.9,N,N
517,12,1221,Omy,1,55,1.9,N,N
518,12,1222,Omy,1,53,1.7,N,N
519,12,1223,Omy,1,49,1.4,N,N
520,12,1224,Omy,1,89,9.9,Y,N
521,12,1225,Omy,1,90,8.9,Y,N
522,12,1226,Omy,2,59,3.2,N,N
523,12,1227,Omy,2,63,2.8,N,N
524,12,1228,Omy,2,69,3.5,N,N
525,12,1229,Omy,2,60,2.3,N,N
526,12,1230,Omy,2,67,3.4,N,N
527,12,1231,Omy,2,98,10.7,Y,N
528,12,1232,Omy,2,98,11.6,Y,N
529,12,1233,Omy,5,66,3.3,N,N
530,12,1234,Omy,5,69,3.7,N,N
531,12,1235,Omy,5,73,4.1,N,N
532,12,1236,Omy,5,84,7,Y,N
533,12,1237,Omy,4,64,3.4,N,N
534,12,1238,Omy,4,59,2.2,N,N
535,12,1239,Omy,4,58,2.4,N,N
536,12,1240,Omy,4,63,2.5,N,N
537,12,1241,Omy,6,57,2.1,N,Y
538,12,1242,Omy,6,93,9.1,Y,N
539,12,1243,Omy,6,69,3.8,N,N
540,12,1244,Omy,6,65,3.3,N,N
541,12,1245,Omy,6,65,3,N,N
542,12,1246,Omy,6,61,3,N,N
543,12,1247,Omy,6,64,3.1,N,N
544,12,1248,Omy,6,73,4.3,N,N
545,12,1249,Omy,6,65,3.5,N,N
546,12,1250,Omy,6,69,3.6,N,N
547,12,1251,Omy,6,67,3.4,N,N
548,12,1252,Omy,6,57,2.1,N,N
